,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
9269,cuál es la tasa de rendimiento del fondo?,Cat_174,cuál es la tasa de rendimiento del fondo,cuál es la tasa de rendimiento del fondo
9270,como es el sistema de amortizacion frances?,Cat_252,como es el sistema de amortizacion frances,como es el sistema de amortizacion frances
9271,cuanto demora el otorgamiento del préstamo hipotecario?,Cat_243,cuanto demora el otorgamiento del préstamo hipotecario,cuanto demora el otorgamiento del préstamo hipotecario
9272,me podrias decir si califico o no para el préstamo,Cat_248,me podrias decir si califico o no para el préstamo,me podrido decir si califico o no para el préstamo
9273,quiero pedir la baja de la cuenta,Cat_41,quiero pedir la baja de la cuenta,quiero pedir la baja de la cuenta
9274,como puedo ver los movimientos de los últimos meses de mi amex?,Cat_138,como puedo ver los movimientos de los últimos meses de mi amex,como puedo ver los movimientos de los últimos meses de mi amex
9275,puedo pedir que me manden el resumen por mail?,Cat_138,puedo pedir que me manden el resumen por mail,puedo pedir que me manden el resumen por mail
9276,ya ise todo los pasos pero no puedo mover la flecha al candado,Cat_4,ya ise todo los pasos pero no puedo mover la flecha al candado,ya se todo los pasos pero no puedo mover la flecha al candado
9277,cuantos pesos me otorgan para comprar una vivienda,Cat_236,cuantos pesos me otorgan para comprar una vivienda,cuantos pesos me otorgan para comprar una vivienda
9278,mensaje suscribir,Cat_125,mensaje suscribir,mensaje suscribir
9279,extración cajero banco cobro comisión,Cat_96,extración cajero banco cobro comisión,extracción cajero banco cobro comisión
9280,querer bajo paquete cobrar no poder pagar,Cat_41,querer bajo paquete cobrar no poder pagar,querer bajo paquete cobrar no poder pagar
9281,que tengo que hacer para ponerme al dia con el banco,Cat_192,que tengo que hacer para ponerme al dia con el banco,que tengo que hacer para ponerme al dia con el banco
9282,solicitar trajeta credito,Cat_337,solicitar trajeta credito,solicitar tarjeta credito
9283,me pueden transferir desde una caja de ahorro en usd a mi cuenta unica en usd?,Cat_83,me pueden transferir desde una caja de ahorro en usd a mi cuenta unica en usd,me pueden transferir desde una caja de ahorro en usd a mi cuenta unica en usd
9284,generar clave alfanumerica de homebankig,Cat_1,generar clave alfanumerica de homebankig,generar clave alfanumerica de homebanking
9285,cómo debería hacer para trabajar en el banco?,Cat_102,cómo debería hacer para trabajar en el banco,como debería hacer para trabajar en el banco
9286,día del bancario,Cat_114,día del bancario,día del bancario
9287,queria saber para cerrar mis cuentas y darme de baja en santander. es necesario realizar el pago de las tarjetas?,Cat_41,queria saber para cerrar mis cuentas y darme de baja en santander es necesario realizar el pago de las tarjetas,quera saber para cerrar mis cuentas y darme de baja en santander es necesario realizar el pago de las tarjetas
9288,que material tengo que presentar para pedir el ccredito?,Cat_247,que material tengo que presentar para pedir el ccredito,que material tengo que presentar para pedir el credito
9289,donde veo mi fci,Cat_188,donde veo mi fci,donde veo mi fci
9290,queria me informen cuales son loa gastos fijos mensuales por el mantenimiento de las cuentas,Cat_96,queria me informen cuales son loa gastos fijos mensuales por el mantenimiento de las cuentas,quera me informen cuales son loa gastos fijos mensuales por el mantenimiento de las cuentas
9291,olvidar nombre usario entrar,Cat_1,olvidar nombre usario entrar,olvidar nombre osario entrar
9292,como sé si un servicio que quiero pagar está habilitado?,Cat_132,como sé si un servicio que quiero pagar está habilitado,como se si un servicio que quiero pagar esto habilitado
9293,a donde llamo para pedir que me extiendan la fecha de pago de la amex?,Cat_348,a donde llamo para pedir que me extiendan la fecha de pago de la amex,a donde llamo para pedir que me extiendan la fecha de pago de la amex
9294,consultar medio pago habilitar pagar tarjeta,Cat_342,consultar medio pago habilitar pagar tarjeta,consultar medio pago habilitar pagar tarjeta
9295,para entrar en mi cuenta,Cat_3,para entrar en mi cuenta,para entrar en mi cuenta
9296,queria saber si puedo pedir préstamo personal,Cat_248,queria saber si puedo pedir préstamo personal,quera saber si puedo pedir préstamo personal
9297,hay alguna comisión por entrar o por salir a los fondos de inversión?,Cat_96,hay alguna comisión por entrar o por salir a los fondos de inversión,hay alguna comisión por entrar o por salir a los fondos de inversión
9298,quisiera saber el detalle de mi cuenta,Cat_138,quisiera saber el detalle de mi cuenta,quisiera saber el detalle de mi cuenta
9299,como puedo dar de baja a super cuenta,Cat_41,como puedo dar de baja a super cuenta,como puedo dar de baja a super cuenta
9300,¿puedo elegir la fecha de vencimiento de la primera cuota?,Cat_259,puedo elegir la fecha de vencimiento de la primera cuota,puedo elegir la fecha de vencimiento de la primera cuota
9301,sacar plata cajero,Cat_297,sacar plata cajero,sacar plata cajero
9302,mi tarjeta de debito perteneciente a mi caja de ahorro está gastada y necesito reemplazarla. como se hace dicha gestion,Cat_316,mi tarjeta de debito perteneciente a mi caja de ahorro está gastada y necesito reemplazarla como se hace dicha gestion,mi tarjeta de debito perteneciente a mi caja de ahorro esto gastada y necesito reemplazar como se hace dicha gestion
9303,cargo comisiones cobro,Cat_96,cargo comisiones cobro,cargo comisiones cobro
9304,por que me están cobrando el impuesto al cheque?,Cat_122,por que me están cobrando el impuesto al cheque,por que me están cobrando el impuesto al cheque
9305,puedo tener a la vez más de un plazo fijo,Cat_183,puedo tener a la vez más de un plazo fijo,puedo tener a la vez mis de un plazo fijo
9306,como activar la tarjeta american express preembozada,Cat_301,como activar la tarjeta american express preembozada,como activar la tarjeta america expresa preembozada
9307,levantar la prenda,Cat_235,levantar la prenda,levantar la prenda
9308,puedo modificar el monto de una transferencia que tengo programada,Cat_81,puedo modificar el monto de una transferencia que tengo programada,puedo modificar el monto de una transferencia que tengo programada
9309,tratar nombre usuario clave pagina pedir clave seguridad,Cat_1,tratar nombre usuario clave pagina pedir clave seguridad,tratar nombre usuario clave pagina pedir clave seguridad
9310,el dia lunes tuve un problema con un cajero  quise sacar plata y no me la dio  pero me la debitoon de la cuenta.,Cat_297,el dia lunes tuve un problema con un cajero  quise sacar plata y no me la dio  pero me la debitoon de la cuenta,el dia lunes tuve un problema con un cajero quise sacar plata y no me la dio pero me la debitan de la cuenta
9311,cómo es el tema requisitos de los préstamos?,Cat_248,cómo es el tema requisitos de los préstamos,como es el tema requisitos de los prestamos
9312,cuanto me dan para una compra de casa prefabricada?,Cat_214,cuanto me dan para una compra de casa prefabricada,cuanto me dan para una compra de casa prefabricada
9313,anulacion de compra,Cat_281,anulacion de compra,anulacion de compra
9314,que valor de la propiedad se toma en cuenta para la financiacií¬≠¬≠¬≠¬≠í¬≠¬≠‚ç¨≈°¬¨¬†‚äö¬¨√ö¬°¬¨‚äö¬¨√ö¬æ¬¢‚äö¬¨√ö¬°¬¨í‚ç¨¬¶¬°¬¨í¬≠¬≠‚ç¨≈°¬¨¬¶‚äö¬¨√ö¬°¬¨í‚ç¨¬¶‚äö¬¨√ö‚äún y la escritura?,Cat_217,que valor de la propiedad se toma en cuenta para la financiaciííçäööäööæäööíçíçäööíçäööäún y la escritura,que valor de la propiedad se toma en cuenta para la financiaciííçäööäööæäööíçíçäööíçäööäún y la escritura
9315,el prestamo prendario es en dolares o pesos,Cat_225,el prestamo prendario es en dolares o pesos,el prestamo prendario es en dolar o pesos
9316,quien sería mi ejecutivo de cuentas?,Cat_126,quien sería mi ejecutivo de cuentas,quien serba mi ejecutivo de cuentas
9317,cómo debo hacer para adherir un debito,Cat_132,cómo debo hacer para adherir un debito,como debo hacer para adherir un debito
9318,¿es obligatorio contratar un seguro asociado al préstamo?,Cat_250,es obligatorio contratar un seguro asociado al préstamo,es obligatorio contratar un seguro asociado al préstamo
9319,queria saber si era cliente del banco santander rio,Cat_61,queria saber si era cliente del banco santander rio,quera saber si era cliente del banco santander rio
9320,cual es el numero de la sucursal de posadas. misiones,Cat_91,cual es el numero de la sucursal de posadas misiones,cual es el numero de la sucursal de posada misiones
9321,como doy de baja a mi seguro por venta de esa propiedad.,Cat_262,como doy de baja a mi seguro por venta de esa propiedad,como doy de baja a mi seguro por venta de esa propiedad
9322,como se si el local donde voy a comprar tiene el rubro de la promo?,Cat_311,como se si el local donde voy a comprar tiene el rubro de la promo,como se si el local donde voy a comprar tiene el rubro de la prono
9323,quiero hacer la baja de seguro automotor,Cat_262,quiero hacer la baja de seguro automotor,quiero hacer la baja de seguro automotor
9324,me cobran comisiones en una cuenta dada de baja,Cat_97,me cobran comisiones en una cuenta dada de baja,me cobran comisiones en una cuenta dada de baja
9325,horarios de atención telefonica?,Cat_147,horarios de atención telefonica,horarios de atención telefonica
9326,si quiero dar de alta mi tarjeta de debito como puedo hacer?,Cat_301,si quiero dar de alta mi tarjeta de debito como puedo hacer,si quiero dar de alta mi tarjeta de debito como puedo hacer
9327,estaría necitando el resumen de este mes cuanto es?,Cat_138,estaría necitando el resumen de este mes cuanto es,estaría recitando el resumen de este mes cuanto es
9328,quiero desconocer un consumo de una liquidación actual de mi tarjeta de credito,Cat_112,quiero desconocer un consumo de una liquidación actual de mi tarjeta de credito,quiero desconocer un consumo de una liquidación actual de mi tarjeta de credito
9329,que necesito para ser iu,Cat_140,que necesito para ser iu,que necesito para ser in
9330,salir onlinebanking,Cat_0,salir onlinebanking,salir onlinebanking
9331,puedo hacer un compromiso de pago?,Cat_191,puedo hacer un compromiso de pago,puedo hacer un compromiso de pago
9332,pagar resumen tarjeta,Cat_342,pagar resumen tarjeta,pagar resumen tarjeta
9333,algun comunicarme,Cat_147,algun comunicarme,algun comunicarme
9334,cual es el numero telefonico para consultas?,Cat_147,cual es el numero telefonico para consultas,cual es el numero telefonico para consultas
9335,quiero conocer como se realiza el adelanto de las tarjetas,Cat_298,quiero conocer como se realiza el adelanto de las tarjetas,quiero conocer como se realiza el adelanto de las tarjetas
9336,en donde puedo ver el nro de cuenta de la tarjeta visa?,Cat_344,en donde puedo ver el nro de cuenta de la tarjeta visa,en donde puedo ver el nro de cuenta de la tarjeta visa
9337,si me quedo sin trabajo que pasa con el prestamo hipotecario que pedí?,Cat_240,si me quedo sin trabajo que pasa con el prestamo hipotecario que pedí,si me quedo sin trabajo que pasa con el prestamo hipotecario que pedí
9338,para autorizacion de una compra.,Cat_283,para autorizacion de una compra,para autorizacion de una compra
9339,como hago para para saber si tengo disponible monto para compras en mi tarjeta de credito,Cat_303,como hago para para saber si tengo disponible monto para compras en mi tarjeta de credito,como hago para para saber si tengo disponible monto para compras en mi tarjeta de credito
9340,tengo una acreditacion que desconozco,Cat_115,tengo una acreditacion que desconozco,tengo una acreditacion que desconozco
9341,cual es el valor del cft?,Cat_224,cual es el valor del cft,cual es el valor del cat
9342,telefono de sector black,Cat_147,telefono de sector black,telefono de sector black
9343,verificar cliente santander,Cat_61,verificar cliente santander,verificar cliente santander
9344,quisiera saber cómo tener una cuenta de ahorro,Cat_39,quisiera saber cómo tener una cuenta de ahorro,quisiera saber como tener una cuenta de ahorro
9345,transferencia al extranjero,Cat_36,transferencia al extranjero,transferencia al extranjero
9346,paso telefono contactar,Cat_147,paso telefono contactar,paso telefono contactar
9347,necesito saber que cantidad de dinero puedo sacar de prestamo personal por ser cliente,Cat_236,necesito saber que cantidad de dinero puedo sacar de prestamo personal por ser cliente,necesito saber que cantidad de dinero puedo sacar de prestamo personal por ser cliente
9348,no quiero recibir resumenes por escrito de mis inversiones nunca más,Cat_179,no quiero recibir resumenes por escrito de mis inversiones nunca más,no quiero recibir resumen por escrito de mis inversiones nunca mis
9349,aplicar descuento santander sorpresa quedar cerrar tarjeta,Cat_312,aplicar descuento santander sorpresa quedar cerrar tarjeta,aplicar descuento santander sorpresa quedar cerrar tarjeta
9350,cuales son los requerimientos para sacar una nueva cuentas y sus características,Cat_39,cuales son los requerimientos para sacar una nueva cuentas y sus características,cuales son los requerimientos para sacar una nueva cuentas y sus características
9351,cuales son los papeles que debo presentar para abir una caja de ahorro en pesoss ?,Cat_39,cuales son los papeles que debo presentar para abir una caja de ahorro en pesoss ,cuales son los papeles que debo presentar para abur una caja de ahorro en pesos
9352,el monto que otorga el banco en un préstamo hipotecario es siempre aproximadamente un % ?,Cat_245,el monto que otorga el banco en un préstamo hipotecario es siempre aproximadamente un  ,el monto que otorga el banco en un préstamo hipotecario es siempre aproximadamente un
9353,pagar cuenta,Cat_132,pagar cuenta,pagar cuenta
9354,extranjero requisito necesario solicitar caja ahorro,Cat_39,extranjero requisito necesario solicitar caja ahorro,extranjero requisito necesario solicitar caja ahorro
9355,necesitaria saber el mail de contacto de la ejecutiva select de la sucursal de las heras,Cat_126,necesitaria saber el mail de contacto de la ejecutiva select de la sucursal de las heras,necesitara saber el mail de contacto de la ejecutiva selecta de la sucursal de las heras
9356,si quiero imprimir el ultimoresumen de la tarjeta visa gold,Cat_138,si quiero imprimir el ultimoresumen de la tarjeta visa gold,si quiero imprimir el ultimoresumen de la tarjeta visa gold
9357,si alguno de estos dias por venir tienen sorpresa santander rio en,Cat_311,si alguno de estos dias por venir tienen sorpresa santander rio en,si alguno de estos dia por venir tienen sorpresa santander rio en
9358,debo sucursal abrir caja ahorro,Cat_39,debo sucursal abrir caja ahorro,debo sucursal abrir caja ahorro
9359,me fracturé un dedo  tengo seguro de vida  eso esta cubierto?,Cat_265,me fracturé un dedo  tengo seguro de vida  eso esta cubierto,me fractura un dedo tengo seguro de vida eso esta cubierto
9360,quiero cliente santander,Cat_39,quiero cliente santander,quiero cliente santander
9361,queria saber en que horarios puedo depositar plata en mi caja de ahorro,Cat_110,queria saber en que horarios puedo depositar plata en mi caja de ahorro,quera saber en que horarios puedo depositar plata en mi caja de ahorro
9362,necesitaría ampliar el límite de la master,Cat_302,necesitaría ampliar el límite de la master,necesitaría ampliar el limite de la master
9363,informar cerrar dólar consumo tarjeta credito,Cat_307,informar cerrar dólar consumo tarjeta credito,informar cerrar dólar consumo tarjeta credito
9364,necesito modificar el límite del sobregiro,Cat_57,necesito modificar el límite del sobregiro,necesito modificar el limite del sobregiro
9365,quiero dar de baja el pago automatico,Cat_345,quiero dar de baja el pago automatico,quiero dar de baja el pago automatico
9366,querer saber consumir aparecer cuenta,Cat_115,querer saber consumir aparecer cuenta,querer saber consumir aparecer cuenta
9367,no tengo el dni argentino. puedo hacer una cuenta en el santander?,Cat_39,no tengo el dni argentino puedo hacer una cuenta en el santander,no tengo el dni argentino puedo hacer una cuenta en el santander
9368,hay paro hoy?,Cat_114,hay paro hoy,hay paro hoy
9369,quiero saber si me dan un prestamo,Cat_248,quiero saber si me dan un prestamo,quiero saber si me dan un prestamo
9370,como actualizar mi dni,Cat_103,como actualizar mi dni,como actualizar mi dni
9371,la tarjeta visa ya me venció como se si está paga?,Cat_279,la tarjeta visa ya me venció como se si está paga,la tarjeta visa ya me venció como se si esto paga
9372,cuanto tengo que cobrar para que me den un préstamo hipotecario de ?,Cat_251,cuanto tengo que cobrar para que me den un préstamo hipotecario de ,cuanto tengo que cobrar para que me den un préstamo hipotecario de
9373,quiero averiguar si tienen algún préstamo personal disponible,Cat_225,quiero averiguar si tienen algún préstamo personal disponible,quiero averiguar si tienen algún préstamo personal disponible
9374,como recupero mi password,Cat_1,como recupero mi password,como recupero mi password
9375,todavía no salió aprobado mi préstamo que hago?,Cat_215,todavía no salió aprobado mi préstamo que hago,todavía no salió aprobado mi préstamo que hago
9376,queria saber cómo estaba el merval hoy,Cat_168,queria saber cómo estaba el merval hoy,quera saber como estaba el serval hoy
9377,quiero saber como son los ccreditos procrear,Cat_225,quiero saber como son los ccreditos procrear,quiero saber como son los acredito procrear
9378,coincidian monto figurar home banking importar cedulon rentar cordoba urbano,Cat_129,coincidian monto figurar home banking importar cedulon rentar cordoba urbano,coinciden monto figurar home bancking importar cedulon rentar cordoba urbano
9379,quiero saber si puedo pedir un prestamo hipotecario...,Cat_248,quiero saber si puedo pedir un prestamo hipotecario,quiero saber si puedo pedir un prestamo hipotecario
9380,acceder número guia envio tarjeta,Cat_293,acceder número guia envio tarjeta,acceder número guia envio tarjeta
9381,si o si el dueño de la prenda lo tiene que retirar?,Cat_235,si o si el dueño de la prenda lo tiene que retirar,si o si el dueño de la prenda lo tiene que retirar
9382,para invertir en plazo fijo,Cat_181,para invertir en plazo fijo,para invertir en plazo fijo
9383,banco tarjeta credito obtenerla,Cat_337,banco tarjeta credito obtenerla,banco tarjeta credito obtenerla
9384,quiero rearmar mi póliza,Cat_268,quiero rearmar mi póliza,quiero rearmar mi póliza
9385,costo de servicio,Cat_96,costo de servicio,costo de servicio
9386,me emitieron nuevamente otra tarjeta me llegaron dos cual es válida?,Cat_309,me emitieron nuevamente otra tarjeta me llegaron dos cual es válida,me emitieron nuevamente otra tarjeta me llegaron dos cual es valida
9387,cobran comisión por hacer plazo fijo?,Cat_183,cobran comisión por hacer plazo fijo,cobran comisión por hacer plazo fijo
9388,indique que habia realizado el pago de la tarjeta amex y me encontre con el pago realizados dos veces,Cat_350,indique que habia realizado el pago de la tarjeta amex y me encontre con el pago realizados dos veces,indique que habla realizado el pago de la tarjeta amex y me encante con el pago realizados dos veces
9389,deuda queria numero llamar,Cat_194,deuda queria numero llamar,deuda quera numero llamar
9390,q uiero solicitar el recambio del plastico de latarjeta visa,Cat_316,q uiero solicitar el recambio del plastico de latarjeta visa,q quiero solicitar el recambio del plastico de tarjeta visa
9391,acceder a préstamo personal,Cat_223,acceder a préstamo personal,acceder a préstamo personal
9392,quiero vender mi auto pero adeudo cuotas del préstamo,Cat_260,quiero vender mi auto pero adeudo cuotas del préstamo,quiero vender mi auto pero adeudo cuotas del préstamo
9393,tengo adherido el pago de servicio hace meses y me sigue figurando y sin fecha de vencimiento. queria saber si es que tengo que esperar a que den de alta el pago por débito desde el servicio o cambiar algo.,Cat_129,tengo adherido el pago de servicio hace meses y me sigue figurando y sin fecha de vencimiento queria saber si es que tengo que esperar a que den de alta el pago por débito desde el servicio o cambiar algo,tengo adherido el pago de servicio hace meses y me sigue figurando y sin fecha de vencimiento quera saber si es que tengo que esperar a que den de alta el pago por debito desde el servicio o cambiar algo
9394,no me estan debitando edenor de mi cuenta,Cat_129,no me estan debitando edenor de mi cuenta,no me restan debitando elebor de mi cuenta
9395,extravio cheque,Cat_48,extravio cheque,extravio cheque
9396,cómo puedo ver si un servicio esta en débito automatico?,Cat_93,cómo puedo ver si un servicio esta en débito automatico,como puedo ver si un servicio esta en debito automatico
9397,pueden informarme acerca de las comisiones para recibir transferencias del extranjero,Cat_31,pueden informarme acerca de las comisiones para recibir transferencias del extranjero,pueden informarme acerca de las comisiones para recibir transferencias del extranjero
9398,como se calcula el cer?,Cat_107,como se calcula el cer,como se calcula el per
9399,era para confirmar el pago de la tarjeta visa si ya lo debitaron,Cat_279,era para confirmar el pago de la tarjeta visa si ya lo debitaron,era para confirmar el pago de la tarjeta visa si ya lo debitaron
9400,pero no puedo ingresar al online banking está en mantenimiento dice,Cat_124,pero no puedo ingresar al online banking está en mantenimiento dice,pero no puedo ingresar al online bancking esto en mantenimiento dice
9401,quiero hacer una trasferencia pero no tengo token,Cat_5,quiero hacer una trasferencia pero no tengo token,quiero hacer una trasferencia pero no tengo token
9402,quiero hacer un reclamo por un cobro de comisiones,Cat_97,quiero hacer un reclamo por un cobro de comisiones,quiero hacer un reclamo por un cobro de comisiones
9403,los premios son los mismos con los puntos si tengo tarjeta platinium?,Cat_323,los premios son los mismos con los puntos si tengo tarjeta platinium,los premios son los mismos con los puntos si tengo tarjeta platinum
9404,que costo tiene hacer una transferencia al extranjero?,Cat_31,que costo tiene hacer una transferencia al extranjero,que costo tiene hacer una transferencia al extranjero
9405,necesito resetear la clave del cajero,Cat_288,necesito resetear la clave del cajero,necesito resetear la clave del cajero
9406,en mi cuenta se acreditó dinero que no es mio,Cat_55,en mi cuenta se acreditó dinero que no es mio,en mi cuenta se acredite dinero que no es mio
9407,me hicieron una transferencia del exterior pero no veo el dinero ingresado en mi cuenta.,Cat_33,me hicieron una transferencia del exterior pero no veo el dinero ingresado en mi cuenta,me hicieron una transferencia del exterior pero no veo el dinero ingresado en mi cuenta
9408,si tengo un prestamo hipotecario  cuanto puedo deducir del impuesto a las ganancias?,Cat_201,si tengo un prestamo hipotecario  cuanto puedo deducir del impuesto a las ganancias,si tengo un prestamo hipotecario cuanto puedo deducir del impuesto a las ganancias
9409,como se cuanto debo de un prestamo,Cat_239,como se cuanto debo de un prestamo,como se cuanto debo de un prestamo
9410,quiero informar el pago de mi tarjeta visa.,Cat_195,quiero informar el pago de mi tarjeta visa,quiero informar el pago de mi tarjeta visa
9411,quiero saber si mi seguro cubre la rotura de vidrios,Cat_265,quiero saber si mi seguro cubre la rotura de vidrios,quiero saber si mi seguro cubre la rotura de vidrios
9412,recuperar password,Cat_1,recuperar password,recuperar password
9413,¿hay beneficios para discapacitados en el préstamo personal?,Cat_253,hay beneficios para discapacitados en el préstamo personal,hay beneficios para discapacitados en el préstamo personal
9414,que se hace si ya te transfirieron y no está el sueldo en la cuenta?,Cat_62,que se hace si ya te transfirieron y no está el sueldo en la cuenta,que se hace si ya te transfirieron y no esto el sueldo en la cuenta
9415,gestiones especiales numero,Cat_147,gestiones especiales numero,gestiones especiales numero
9416,necesito saber el costo de usar cajeros q no sean del santander,Cat_96,necesito saber el costo de usar cajeros q no sean del santander,necesito saber el costo de usar cajeros q no sean del santander
9417,solicitud de turno,Cat_148,solicitud de turno,solicitud de turno
9418,necesito reversar el debito del pago de tarjeta,Cat_350,necesito reversar el debito del pago de tarjeta,necesito reversar el debito del pago de tarjeta
9419,si cambio la cuenta principal cambian los débitos de las tarjetas?,Cat_52,si cambio la cuenta principal cambian los débitos de las tarjetas,si cambio la cuenta principal cambian los débitos de las tarjetas
9420,necesito comprar una casa como tengo que hacer,Cat_228,necesito comprar una casa como tengo que hacer,necesito comprar una casa como tengo que hacer
9421,como puedo saber si ya esta mi tarjeta para retirar,Cat_293,como puedo saber si ya esta mi tarjeta para retirar,como puedo saber si ya esta mi tarjeta para retirar
9422,cuando llegar reposicion tarjeta,Cat_293,cuando llegar reposicion tarjeta,cuando llegar reposicion tarjeta
9423,en cuanto tiempo me devuelven el dinero de una transferencia rechazada?,Cat_80,en cuanto tiempo me devuelven el dinero de una transferencia rechazada,en cuanto tiempo me devuelven el dinero de una transferencia rechazada
9424,reporte de rendimientos para impuestos,Cat_137,reporte de rendimientos para impuestos,reporte de rendimientos para impuestos
9425,me cobroon el uso de cajero no propio cuando no he usado la tarjeta,Cat_97,me cobroon el uso de cajero no propio cuando no he usado la tarjeta,me cabron el uso de cajero no propio cuando no he usado la tarjeta
9426,como cambio mi clave por el homebanking?,Cat_1,como cambio mi clave por el homebanking,como cambio mi clave por el homebanking
9427,como puedo sacar el resumen,Cat_138,como puedo sacar el resumen,como puedo sacar el resumen
9428,necesito el documento de libre de deuda,Cat_64,necesito el documento de libre de deuda,necesito el documento de libre de deuda
9429,que son recaudaciones electrónicas?,Cat_115,que son recaudaciones electrónicas,que son recaudaciones electrónicas
9430,para compras de un auto usado para eso nesecito el presatmo,Cat_228,para compras de un auto usado para eso nesecito el presatmo,para compras de un auto usado para eso necesito el prestamo
9431,necesito q se comuniquen conmigo,Cat_134,necesito q se comuniquen conmigo,necesito q se comuniquen conmigo
9432,saver depocitaron dinero,Cat_50,saver depocitaron dinero,saber depositaron dinero
9433,costo tarjeta credito,Cat_96,costo tarjeta credito,costo tarjeta credito
9434,quiero dar de baja mi suscripción a clarin 365,Cat_280,quiero dar de baja mi suscripción a clarin number,quiero dar de baja mi suscripción a clarin number
9435,aumentar margen d ela tarjeta,Cat_302,aumentar margen d ela tarjeta,aumentar margen d la tarjeta
9436,como se compran acciones,Cat_151,como se compran acciones,como se compran acciones
9437,puedo sumar aportes con mi marido para las cuotas del prestamo para vivienda,Cat_254,puedo sumar aportes con mi marido para las cuotas del prestamo para vivienda,puedo sumar aportes con mi marido para las cuotas del prestamo para vivienda
9438,pagué mi tc sin poner stop debit y me debito luego.,Cat_350,pagué mi tc sin poner stop debit y me debito luego,pague mi c sin poner stop debut y me debito luego
9439,queria saber de que era el concepto que me figura pei link?,Cat_115,queria saber de que era el concepto que me figura pei link,quera saber de que era el concepto que me figura per link
9440,necesito avisar un pago de tarjeta de credito,Cat_195,necesito avisar un pago de tarjeta de credito,necesito avisar un pago de tarjeta de credito
9441,no soy cliente y nesecito un préstamo personal,Cat_248,no soy cliente y nesecito un préstamo personal,no soy cliente y necesito un préstamo personal
9442,quisiera consulta sobre el premio canjeado aún no llegue a mi domicilio.,Cat_326,quisiera consulta sobre el premio canjeado aún no llegue a mi domicilio,quisiera consulta sobre el premio canjeado azn no llegue a mi domicilio
9443,dar de baja mail,Cat_125,dar de baja mail,dar de baja mail
9444,querer cerrar,Cat_41,querer cerrar,querer cerrar
9445,como es el tramite para solicitar un préstamo hipotecario?,Cat_223,como es el tramite para solicitar un préstamo hipotecario,como es el tramite para solicitar un préstamo hipotecario
9446,garantia productos superclub,Cat_329,garantia productos superclub,garantia productos superclub
9447,quisiera entrar al online banking,Cat_3,quisiera entrar al online banking,quisiera entrar al online bancking
9448,quiero saber cual es la tasa de interes para los préstamos?,Cat_258,quiero saber cual es la tasa de interes para los préstamos,quiero saber cual es la tasa de interes para los prestamos
9449,yo pedi las tarjetas queria saber si ya estaban,Cat_293,yo pedi las tarjetas queria saber si ya estaban,yo peni las tarjetas quera saber si ya estaban
9450,monto factura coincidir aparece online banking,Cat_129,monto factura coincidir aparece online banking,monto factura coincidir aparece online bancking
9451,quiero dar de baja el pago automatico de una factura,Cat_292,quiero dar de baja el pago automatico de una factura,quiero dar de baja el pago automatico de una factura
9452,el día de ayer deposité un cheque pero el día de hoy no me figura,Cat_49,el día de ayer deposité un cheque pero el día de hoy no me figura,el día de ayer deposite un cheque pero el día de hoy no me figura
9453,no sé si hice bien un pago en pagomiscuentas,Cat_131,no sé si hice bien un pago en pagomiscuentas,no se si hice bien un pago en pagomiscuentas
9454,un premio que no está  lo vuelven a poner?,Cat_332,un premio que no está  lo vuelven a poner,un premio que no esto lo vuelven a poner
9455,puedo solicitar un prestamo hioptecario para construir?,Cat_228,puedo solicitar un prestamo hioptecario para construir,puedo solicitar un prestamo hipotecario para construir
9456,bajo cuenta cobrar saldar,Cat_41,bajo cuenta cobrar saldar,bajo cuenta cobrar saldar
9457,cobrar habilitar aviso,Cat_125,cobrar habilitar aviso,cobrar habilitar aviso
9458,hice una tranferencia equivocada,Cat_82,hice una tranferencia equivocada,hice una trasferencia equivocada
9459,cargue red bus cordoba el dia de ayer por primera vez y hasta el momento no tengo saldo,Cat_129,cargue red bus cordoba el dia de ayer por primera vez y hasta el momento no tengo saldo,cargue red bus cordoba el dia de ayer por primera vez y hasta el momento no tengo saldo
9460,necesito comprar una casa.cuales son los pasos a seguir para obtener un ccredito hipotecario,Cat_223,necesito comprar una casacuales son los pasos a seguir para obtener un ccredito hipotecario,necesito comprar una casacuales son los pasos a seguir para obtener un credito hipotecario
9461,que requisitos están pidiendo para depositar en una cuenta sueldo?,Cat_72,que requisitos están pidiendo para depositar en una cuenta sueldo,que requisitos están pidiendo para depositar en una cuenta sueldo
9462,recibí la tarjeta pero esta mal escrito el nombre,Cat_315,recibí la tarjeta pero esta mal escrito el nombre,recibí la tarjeta pero esta mal escrito el nombre
9463,entregar tarjeta credito saber cupo,Cat_303,entregar tarjeta credito saber cupo,entregar tarjeta credito saber cupo
9464,necesito tarjeta de debito pero no tengo recibo de sueldo,Cat_39,necesito tarjeta de debito pero no tengo recibo de sueldo,necesito tarjeta de debito pero no tengo recibo de sueldo
9465,hay una opcion de echeq en el menú y quiero saber de que se trata,Cat_59,hay una opcion de echeq en el menú y quiero saber de que se trata,hay una opcion de eche en el menú y quiero saber de que se trata
9466,quisiera dar de baja mi paquete infinity gold,Cat_41,quisiera dar de baja mi paquete infinity gold,quisiera dar de baja mi paquete infinita gold
9467,no puedo descargar el simulador de cuotas,Cat_251,no puedo descargar el simulador de cuotas,no puedo descargar el simulador de cuotas
